"Name","State","Notes","User","Tags","Created","Runtime","alpha","lr_Q","lr_V","lr_all","memory_bypass","n_actions","n_obs","n_states","normalize","num_desired_trajectories","random_feature_dim","reset_every","seed","state_dim","trajectory_length","update_state_given_obs","dseed","env_args.cols","env_args.levels","env_args.rows","env_type","batch_size","d_model","eps_M","hidden_size","include_init_state_info","lr_M","max_iter_M","memory_bias","model","n_heads","reg_M","reg_Q","reg_V","loss","sa_accuracy","sa_conf","sa_dist_ratio","test_accuracy","test_conf","train/epoch_ct","train/loss","train/mloss_p_epoch","train/mloss_p_traj","train/step_ct","train/traj_ct","train_acc","train_conf"
"tree_{'levels': 3}_sdim_1000_rfdim_500_lrV_0.04_seed_69","finished","-","","","2025-01-23T19:30:38.000Z","369","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","69","1000","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.5108914251128832","0.5144216607901632","0.5388257575757576","0.3694987012058949","14","NaN","3.943703376885616","NaN","3960","360","0.5375828598484849","0.3704840690374057"
"tree_{'levels': 3}_sdim_200_rfdim_500_lrV_0.04_seed_69","finished","-","","","2025-01-23T19:13:41.000Z","1015","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","69","200","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.5494048794110616","0.48443734002600225","0.5620857007575758","0.3997308671016286","40","2.5543932914733887","3.701564192771912","3.7368470322002065","10560","960","0.5464607007575758","0.3911170600709062"
"tree_{'levels': 3}_sdim_100_rfdim_500_lrV_0.04_seed_69","finished","-","","","2025-01-23T19:05:57.000Z","463","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","69","100","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.4677522052079439","0.5648000081734013","0.4660866477272727","0.32493770126741034","25","NaN","3.8626105681513296","NaN","6864","624","0.45928030303030304","0.32121793355741884"
"tree_{'levels': 3}_sdim_20_rfdim_500_lrV_0.04_seed_69","finished","-","","","2025-01-23T18:57:17.000Z","518","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","69","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.75","0.6365122669376433","0.4561280205589034","0.6336410984848485","0.500206222788446","40","1.3700311183929443","2.88225642072432","2.4989392323927446","10560","960","0.6336410984848485","0.5043418875119414"
"tree_{'levels': 3}_sdim_1000_rfdim_500_lrV_0.04_seed_68","finished","-","","","2025-01-23T18:40:49.000Z","986","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","68","1000","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.4851091094315052","0.5197522532564179","0.5018347537878788","0.34616641384662794","36","NaN","3.843532292680307","NaN","9768","888","0.5078125","0.35262600563745156"
"tree_{'levels': 3}_sdim_200_rfdim_500_lrV_0.04_seed_68","finished","-","","","2025-01-23T18:22:56.000Z","1072","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","68","200","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.4848284460604191","0.541308795652882","0.5201231060606061","0.3659274528343675","40","2.095360279083252","3.1681261961207245","3.4979653575203637","10560","960","0.5108901515151515","0.3592540614278291"
"tree_{'levels': 3}_sdim_100_rfdim_500_lrV_0.04_seed_68","finished","-","","","2025-01-23T18:16:05.000Z","409","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","68","100","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.75","0.36700946434090537","0.5841067167053848","0.3552911931818182","0.26703856211982685","40","1.6028227806091309","2.8326133295442117","2.8093323599208486","10560","960","0.3443418560606061","0.25923615896273544"
"tree_{'levels': 3}_sdim_20_rfdim_500_lrV_0.04_seed_68","finished","-","","","2025-01-23T18:13:34.000Z","150","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","68","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.5219022321204344","0.4885326188285035","0.5599550189393939","0.38475750114444607","15","NaN","3.526636172198888","NaN","4224","384","0.5533262310606061","0.379956634704885"
"tree_{'levels': 3}_sdim_1000_rfdim_500_lrV_0.04_seed_67","finished","-","","","2025-01-23T17:59:18.000Z","855","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","67","1000","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.5353764072060585","0.49367156598309087","0.5366358901515151","0.3975444962520049","40","2.5405306816101074","3.4426048348347345","3.9353514151139697","10560","960","0.5419034090909091","0.4039658095629847"
"tree_{'levels': 3}_sdim_200_rfdim_500_lrV_0.04_seed_67","finished","-","","","2025-01-23T17:56:24.000Z","173","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","67","200","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.497106888021032","0.5142387893742453","0.4874526515151515","0.3428090374083805","14","NaN","4.012614284500931","NaN","3960","360","0.4931936553030303","0.3483491794399511"
"tree_{'levels': 3}_sdim_100_rfdim_500_lrV_0.04_seed_67","finished","-","","","2025-01-23T17:53:10.000Z","193","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","67","100","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.5499674044549465","0.5113252691466835","0.5075757575757576","0.3737462523461848","19","NaN","3.853669445623051","NaN","5280","480","0.5048532196969697","0.3694813514813232"
"tree_{'levels': 3}_sdim_20_rfdim_500_lrV_0.04_seed_67","finished","-","","","2025-01-23T17:47:51.000Z","318","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","67","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.75","0.5345841590315104","0.49744845553740896","0.5350378787878788","0.37883335159143494","40","2.526916980743408","3.044336633700313","3.4090401476079766","10560","960","0.5342092803030303","0.3806649091757002"
"tree_{'levels': 3}_sdim_1000_rfdim_500_lrV_0.04_seed_66","finished","-","","","2025-01-23T17:34:58.000Z","772","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","66","1000","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.9166666666666666","0.6905417690674464","0.4178894152188288","0.628610321969697","0.5014674348390334","40","3.3178257942199707","4.233656330542131","4.30830268426375","10560","960","0.6287878787878788","0.4979524657270453"
"tree_{'levels': 3}_sdim_200_rfdim_500_lrV_0.04_seed_66","finished","-","","","2025-01-23T17:27:07.000Z","469","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","66","200","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.75","0.5035439655184746","0.5158317751721286","0.5004142992424242","0.3570034401524839","33","NaN","3.880832673925342","NaN","8976","816","0.5191761363636364","0.3679398091942748"
"tree_{'levels': 3}_sdim_100_rfdim_500_lrV_0.04_seed_66","finished","-","","","2025-01-23T17:20:41.000Z","384","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","66","100","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.4922289034972589","0.5405966899884032","0.474609375","0.338782361688073","40","1.5755665302276611","3.0729175733797476","2.7890370325608687","10560","960","0.46922348484848486","0.3373227955006507"
"tree_{'levels': 3}_sdim_20_rfdim_500_lrV_0.04_seed_66","finished","-","","","2025-01-23T17:17:26.000Z","194","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","66","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.43241282800833386","0.5359099238741639","0.40086410984848486","0.299876342363377","26","NaN","3.8007803545756778","NaN","7128","648","0.39494554924242425","0.2969449827339414"
"grid_{'rows': 3, 'cols': 3}_sdim_1000_rfdim_1000_lrV_0.04_seed_69","finished","-","","","2025-01-23T14:15:55.000Z","3285","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","69","1000","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.7506039043267568","0.10044606417149868","0.9211055871212122","0.6686903029904987","40","0.9884791374206544","2.1863735873590815","2.091701014475389","10560","960","0.9153645833333334","0.6652312597111218"
"grid_{'rows': 3, 'cols': 3}_sdim_200_rfdim_1000_lrV_0.04_seed_69","finished","-","","","2025-01-23T13:29:14.000Z","2800","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","69","200","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.7695886492729187","0.09889027057585908","0.9329427083333334","0.6968577548643955","40","0.9225271940231324","2.2937720046576224","2.2851198098876258","10560","960","0.9269649621212122","0.6938531852636061"
"grid_{'rows': 3, 'cols': 3}_sdim_100_rfdim_1000_lrV_0.04_seed_69","finished","-","","","2025-01-23T13:07:33.000Z","1299","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","69","100","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.7424129818876585","0.11285362052379982","0.9373224431818182","0.6643363795374584","40","0.904478132724762","2.3824180704400395","2.4479477351362053","10560","960","0.937204071969697","0.6656986946006782"
"grid_{'rows': 3, 'cols': 3}_sdim_20_rfdim_1000_lrV_0.04_seed_69","finished","-","","","2025-01-23T12:36:40.000Z","1851","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","69","20","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.7273818800846735","0.1329632635784539","0.9288589015151516","0.6415829858047029","40","1.2563636302947998","2.580391351923798","2.469467542388222","10560","960","0.9365530303030304","0.6472296402780282"
"grid_{'rows': 3, 'cols': 3}_sdim_1000_rfdim_1000_lrV_0.04_seed_68","finished","-","","","2025-01-23T11:44:29.000Z","3130","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","68","1000","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.765899658203125","0.1556183044049603","0.9158972537878788","0.6768440423202127","40","1.1960628032684326","2.4734310738065024","2.6565568230368872","10560","960","0.9196851325757576","0.6815430547783652"
"grid_{'rows': 3, 'cols': 3}_sdim_200_rfdim_1000_lrV_0.04_seed_68","finished","-","","","2025-01-23T11:08:59.000Z","2128","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","68","200","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.7610163117448489","0.1159154533550432","0.923236268939394","0.682387437082315","40","0.4923691749572754","2.390945122549028","2.2848691777749495","10560","960","0.9200402462121212","0.6798942738396088"
"grid_{'rows': 3, 'cols': 3}_sdim_100_rfdim_1000_lrV_0.04_seed_68","finished","-","","","2025-01-23T10:34:37.000Z","2061","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","68","100","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.7365126013755798","0.11614631892559844","0.9450757575757576","0.6650363684680638","40","1.0431283712387085","2.28328852694143","2.147396542809226","10560","960","0.9456676136363636","0.6659989144141795"
"grid_{'rows': 3, 'cols': 3}_sdim_20_rfdim_1000_lrV_0.04_seed_68","finished","-","","","2025-01-23T10:09:22.000Z","1513","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","68","20","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.7068528110782305","0.13216018702179164","0.9011008522727272","0.6079449249819349","40","3.1000773906707764","3.8798335217165225","4.080429662357677","10560","960","0.9031131628787878","0.6095850962521554"
"grid_{'rows': 3, 'cols': 3}_sdim_1000_rfdim_1000_lrV_0.04_seed_67","finished","-","","","2025-01-23T09:10:22.000Z","3539","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","67","1000","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.7540063584844271","0.10845603389470136","0.9312263257575758","0.6829849104076299","40","1.9077765941619873","2.96307936130148","2.7162801894274624","10560","960","0.9259588068181818","0.6795594932165296"
"grid_{'rows': 3, 'cols': 3}_sdim_200_rfdim_1000_lrV_0.04_seed_67","finished","-","","","2025-01-23T08:34:36.000Z","2145","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","67","200","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.7534780353307724","0.11149177819277936","0.9431226325757576","0.677383984337687","40","1.3047720193862915","2.521638935714057","2.603451663797552","10560","960","0.945016571969697","0.6796424275387518"
"grid_{'rows': 3, 'cols': 3}_sdim_100_rfdim_1000_lrV_0.04_seed_67","finished","-","","","2025-01-23T08:07:36.000Z","1619","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","67","100","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.7551925008495649","0.11216553237238924","0.9329427083333334","0.683378011923513","40","0.8781224489212036","2.248045022288958","2.274458029053428","10560","960","0.9356060606060606","0.685991429148723"
"grid_{'rows': 3, 'cols': 3}_sdim_20_rfdim_1000_lrV_0.04_seed_67","finished","-","","","2025-01-23T07:31:39.000Z","2156","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","67","20","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.7375249514977137","0.09551660848566208","0.9326467803030304","0.6649674168615589","40","0.7900791764259338","2.2114789814998708","2.188076523217288","10560","960","0.9362571022727272","0.6688281024522839"
"grid_{'rows': 3, 'cols': 3}_sdim_1000_rfdim_1000_lrV_0.04_seed_66","finished","-","","","2025-01-23T06:47:54.000Z","2624","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","66","1000","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.7618526245156924","0.10377469630770376","0.9105705492424242","0.6718459745048835","40","1.176336407661438","2.383428803221746","2.2556328773498535","10560","960","0.9047703598484848","0.6691950025407873"
"grid_{'rows': 3, 'cols': 3}_sdim_200_rfdim_1000_lrV_0.04_seed_66","finished","-","","","2025-01-23T06:05:23.000Z","2550","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","66","200","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.7640208750963211","0.12996144936580656","0.9172585227272728","0.6786339373073229","40","1.6666299104690552","2.8296097119649253","2.88449105349454","10560","960","0.9138849431818182","0.6767747907491053"
"grid_{'rows': 3, 'cols': 3}_sdim_100_rfdim_1000_lrV_0.04_seed_66","finished","-","","","2025-01-23T05:30:17.000Z","2105","4","0.1","0.04","0.1","","4","9","9","false","1536","1000","1","66","100","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.7862274174888929","0.11626010860325364","0.8980232007575758","0.6912686359472707","40","0.8022884726524353","2.730199095877734","2.791803083636544","10560","960","0.8934067234848485","0.6876325302860371"
